Model Yr;Mfr Name;Division;Carline;Trans as listed in FE Guide (derived from col AA thru AF);City Unadj FE - Conventional Fuel;Fuel Usage Desc - Conventional Fuel
2010;FOMOCO;Ford Division;TAURUS FWD;Auto(A6);18,2;Gasoline (Regular Unleaded Recommended)
2010;Honda;Honda;ACCORD 4DR SEDAN;Manual(M5);27,8016;Gasoline (Regular Unleaded Recommended)
2010;Honda;Honda;ACCORD 4DR SEDAN;Auto(A5);27,126;Gasoline (Regular Unleaded Recommended)
2010;Honda;Honda;ACCORD 4DR SEDAN;Auto(A5);23,8;Gasoline (Regular Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;AZERA;Auto(A5);22,9;Gasoline (Regular Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;AZERA;Auto(A5);21,4;Gasoline (Regular Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;GENESIS;Auto(A6);22,9;Gasoline (Regular Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;GENESIS;Auto(A6);20,7;Gasoline (Premium Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;SONATA;Auto(A5);27,5;Gasoline (Regular Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;SONATA;Manual(M5);26,8492;Gasoline (Regular Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;SONATA;Auto(A5);24,1;Gasoline (Regular Unleaded Recommended)
2010;Nissan;INFINITI;M35;Auto(S7);20,8;Gasoline (Premium Unleaded Recommended)
2010;Nissan;INFINITI;M35X;Auto(S5);19,6499;Gasoline (Premium Unleaded Recommended)
2010;Nissan;INFINITI;M45;Auto(S5);19,5;Gasoline (Premium Unleaded Required)
2010;Nissan;INFINITI;M45X;Auto(S5);17,3;Gasoline (Premium Unleaded Required)
2010;Jaguar Cars;Jaguar Cars Ltd;Jaguar XJ;Auto(S6);18,5111;Gasoline (Premium Unleaded Recommended)
2010;Jaguar Cars;Jaguar Cars Ltd;Jaguar XJ;Auto(S6);19,9048;Gasoline (Premium Unleaded Recommended)
2010;Jaguar Cars;Jaguar Cars Ltd;Jaguar XJ;Auto(S6);18,9575;Gasoline (Premium Unleaded Recommended)
2010;FOMOCO;Lincoln-Mercury Car;GRAND MARQUIS FFV;Auto(A4);19,7571;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Lincoln-Mercury Car;MKS AWD;Auto(A6);20,4;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Lincoln-Mercury Car;MKS AWD;Auto(A6);21,2;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Lincoln-Mercury Car;MKS FWD;Auto(A6);20,9;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Lincoln-Mercury Car;TOWN CAR FFV;Auto(A4);19,7571;Gasoline (Regular Unleaded Recommended)
2010;Maserati;MASERATI;QUATTROPORTE;Auto(A6);14,4092;Gasoline (Premium Unleaded Required)
2010;Maserati;MASERATI;QUATTROPORTE;Auto(A6);14,2551;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;MAYBACH 57;Auto(A5);12,4;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;MAYBACH 57 S;Auto(A5);12,3;Gasoline (Premium Unleaded Required)
